"302494.829402124,4123851.50095012"
"302495.726609053,4123851.01750243"
"302496.617387375,4123850.50067787"
"302497.497341791,4123850.00351917"
"302498.388701287,4123849.51138615"
"302499.296566653,4123849.00121842"
"302500.176894847,4123848.51993302"
"302501.068794116,4123848.05072798"
"302501.982922487,4123847.56688286"
"302502.885189517,4123847.05861192"
"302503.77036992,4123846.54368452"
"302504.666415958,4123846.01085514"
"302505.579424358,4123845.4793914"
"302506.508938651,4123844.92989298"
"302507.433227772,4123844.39816405"
"302508.330311644,4123843.90942677"
"302509.260614694,4123843.39343835"
"302510.140902512,4123842.91039038"
"302511.037281282,4123842.39167105"
"302511.928061403,4123841.87484819"
"302512.846171499,4123841.32032491"
"302513.781409941,4123840.77422197"
"302514.705409489,4123840.2301482"
"302515.606848142,4123839.68660534"
"302516.514176127,4123839.15351189"
"302517.394008348,4123838.65106437"
"302518.144322306,4123838.16048733"
"302519.052604951,4123837.66795852"
"302520.004972404,4123837.13027655"
"302520.908569344,4123836.678445"
"302521.844265214,4123836.15174335"
"302522.730402183,4123835.67738241"
"302523.633542997,4123835.20615082"
"302524.536103017,4123834.71022799"
"302525.432732445,4123834.20209228"
"302526.34590932,4123833.67768559"
"302527.242829401,4123833.18189576"
"302528.16255956,4123832.69615727"
"302529.082953676,4123832.23863756"
"302529.980952818,4123831.78870339"
"302530.889817665,4123831.32086727"
"302531.80958971,4123830.83689286"
"302532.767889393,4123830.3114254"
"302533.659169921,4123829.81576897"
"302534.550450557,4123829.32011264"
"302535.418050036,4123828.77736813"
"302536.304188488,4123828.30300869"
"302537.401171824,4123827.67545929"
"302538.348896987,4123827.18024021"
"302539.246150326,4123826.69856106"
"302540.233274547,4123826.19888609"
"302541.113690288,4123825.72113253"
"302542.044785502,4123825.2386576"
"302542.97061395,4123824.77218847"
"302543.850739572,4123824.28208954"
"302544.747329708,4123823.77219232"
"302545.633718104,4123823.30841592"
"302546.581112305,4123822.79908847"
"302547.461570226,4123822.32309927"
"302548.364672268,4123821.8501068"
"302549.290293974,4123821.37482006"
"302550.192483511,4123820.86302712"
"302551.099234776,4123820.30524624"
